City,Station,FileName,Lat,Long,Address
Mumbai,"Vile Parle West, Mumbai - MPCB",Mumbai_Vile_Parle_West__Mumbai_-_MPCB.csv,19.10861,72.83622,"CAAQMS- Maharashtra Pollution Control Board, U15, Bhaktivedanta Swami Marg, Juhu Scheme, Juhu, Mumbai."
Mumbai,"Shivaji Nagar, Mumbai - BMC",Mumbai_Shivaji_Nagar__Mumbai_-_BMC.csv,19.060498,72.923356,"Govandi Public School No-2, Govandi West, Raman Mama Nagar, Shivaji Nagar"
Mumbai,"Chembur, Mumbai - MPCB",Mumbai_Chembur__Mumbai_-_MPCB.csv,19.0364585,72.8954371,"RCF Colony, Mahul Rd, Azad Nagar, near RCF Police Station, Chembur, Mumbai, Maharashtra"
Mumbai,"Kandivali West, Mumbai - BMC",Mumbai_Kandivali_West__Mumbai_-_BMC.csv,19.215859,72.831718,"213, RDP Road No.-6, Shivkrupa CHS, RDP8, Charkop Sector-3, Kandivali West."
Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",Mumbai_Khindipada-Bhandup_West__Mumbai_-_IITM.csv,19.1653323,72.922099,"System Of Air Quality And weather Forecasting Research, Bmc Mumbai, Water Filteration Plant, Bhandup West, Mumbai"
Mumbai,"Borivali East, Mumbai - IITM",Mumbai_Borivali_East__Mumbai_-_IITM.csv,19.23241,72.86895,"System Of Air Quality Andweather Forecasting Research, Bmc Mumbai Cti & Rc, Bmc, Abhinav Nagar, Behind National Park, Borivali East - 400066"
Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Mumbai_Chhatrapati_Shivaji_Intl__Airport__T2___Mumbai_-_MPCB.csv,19.10078,72.87462,"CAAQMS-Maharashtra Pollution Control Board, GVK Mumbai Airport Terminal 2, Near Gate No.06, Navpada Sahar Village, CSMIA, Andheri (East), Mumbai"
Mumbai,"Sion, Mumbai - MPCB",Mumbai_Sion__Mumbai_-_MPCB.csv,19.047,72.8746,"K J Somaiya Hospital, Sion (E), Mumbai, Maharashtra."
Mumbai,"Ghatkopar, Mumbai - BMC",Mumbai_Ghatkopar__Mumbai_-_BMC.csv,19.083694,72.920967,"BMC Pumping Station, Mankur, Near Highway BMC Public Toilet, Ghatkopar East, Mumbai."
Mumbai,"Kurla, Mumbai - MPCB",Mumbai_Kurla__Mumbai_-_MPCB.csv,19.0863,72.8888,"LBS Road, Kamani,Kurla West, Phoenix Market City, Mumbai."
Mumbai,"Chakala-Andheri East, Mumbai - IITM",Mumbai_Chakala-Andheri_East__Mumbai_-_IITM.csv,19.11074,72.86084,"System Of Air Quality Andweather Forecasting Research, Bmc Mumbai, 2 Guru Hargovindji Rd, S B Singh Colony, Chakala, Andheri East, Mumbai- 400059"
Mumbai,"Mazgaon, Mumbai - IITM",Mumbai_Mazgaon__Mumbai_-_IITM.csv,18.96702,72.84214,"System of Air Quality and Weather Forecasting Research C/o BMC Mumbai, Joseph Baptista Garden, Garden Rd, Ekta Nagar, Mazgaon, Mumbai"
Mumbai,"Malad West, Mumbai - IITM",Mumbai_Malad_West__Mumbai_-_IITM.csv,19.19709,72.82204,"System Of Air Quality Andweather Forecasting Research, Bmc Mumbai Fire Brigade Station,Near Asmitajyoti Housing Society, Malad West, Mumbai"
Mumbai,"Sewri, Mumbai - BMC",Mumbai_Sewri__Mumbai_-_BMC.csv,19.000084,72.85673,"BMC Public School 19, Sewri Koliwada, MPT, Near Sewri Station Road."
Mumbai,"Mulund West, Mumbai - MPCB",Mumbai_Mulund_West__Mumbai_-_MPCB.csv,19.175,72.9419,"Maharashtra Pollution Control Board, Near car parking Johnson and Johnson P Ltd L B S Marg, Mulund W, Mumbai"
Mumbai,"Navy Nagar-Colaba, Mumbai - IITM",Mumbai_Navy_Nagar-Colaba__Mumbai_-_IITM.csv,18.897756,72.81332,"System Of Air Quality And weather Forecasting Research, Bmc Mumbai Indian Meteorological Department, Nananbhaimoosa Marg, Near Rc Church, Colaba, Mumbai 400005"
Mumbai,"Worli, Mumbai -MPCB",Mumbai_Worli__Mumbai_-MPCB.csv,18.994218,72.8158167,"NEERI-89B, Dr. Annie Besant Road, Near Flyover, Worli, Mumbai."
Mumbai,"Mindspace-Malad West, Mumbai - MPCB",Mumbai_Mindspace-Malad_West__Mumbai_-_MPCB.csv,19.1878657,72.8304069,"Dr. APJ Abdul Kalam Vanodyan, Mindspace, Near Interface Hights, Malad West, Mumbai"
Mumbai,"Byculla, Mumbai - BMC",Mumbai_Byculla__Mumbai_-_BMC.csv,18.9767,72.838,"Park View Apartments Parking, Byculla East, Veer Jijamata Udyan, BMC Gate, Mumbai."
Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB",Mumbai_Kherwadi_Bandra_East__Mumbai_-_MPCB.csv,19.0632143,72.8456324,"Government Polytechnic Collage, A Y Jang Marg, Kherwadi, Bandra East, Mumbai."
Mumbai,"Powai, Mumbai - MPCB",Mumbai_Powai__Mumbai_-_MPCB.csv,19.1375,72.915056,"CAAQMS- Maharashtra Pollution Control Board, Near Hostel-15 (Trident), IIT Campus, Powai, Mumbai."
Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM",Mumbai_Siddharth_Nagar-Worli__Mumbai_-_IITM.csv,19.000083,72.813993,"System Of Air Quality Andweather Forecasting Research, Bmc Mumbai Lal Bahadur Shastri Garden, 60, Worli Hill Rd, Siddharth Nagar, Worli, Mumbai- 400018"
Nagpur,"Mahal, Nagpur - MPCB",Nagpur_Mahal__Nagpur_-_MPCB.csv,21.14472,79.107595,"Old Town Hall Building NMC, Mahal, Nagpur."
Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB",Nagpur_Opp_GPO_Civil_Lines__Nagpur_-_MPCB.csv,21.152875,79.0517531,
Nagpur,"Ram Nagar, Nagpur - MPCB",Nagpur_Ram_Nagar__Nagpur_-_MPCB.csv,21.143383,79.048912,"Laxminarayan Institute of Technology, Amravati Road, Ram Nagar, Nagpur, Maharashtra"
Nagpur,"Ambazari, Nagpur - MPCB",Nagpur_Ambazari__Nagpur_-_MPCB.csv,21.121801,79.04952,"Beside SBI VRC Opp. to NPTI South, Ambazari Road, Ambazari, Nagpur"
Nanded,"Sneh Nagar, Nanded - MPCB",Nanded_Sneh_Nagar__Nanded_-_MPCB.csv,19.173852,77.296291,"Agriculture Technical School, Near Science College, Sneh Nagar, Nanded, Maharashtra."
Nashik,"Pandav Nagari, Nashik - MPCB",Nashik_Pandav_Nagari__Nashik_-_MPCB.csv,19.9591346,73.7788008,"Guru Gobind Singh Collage of Engineering And Research Centre, Guru Gobind Singh Marg,Wadala Pathardi Road, Indira Nagar Annexe, Nashik."
Nashik,"MIDC Ambad, Nashik - MPCB",Nashik_MIDC_Ambad__Nashik_-_MPCB.csv,19.95022,73.73148,"P-25, AIMA Recreation Centre, MIDC Ambad, Nashik."
Nashik,"Gangapur Road, Nashik - MPCB",Nashik_Gangapur_Road__Nashik_-_MPCB.csv,20.0073285,73.7762427,"Gangapur Road, Nashik, Maharashtra 422002"
Nashik,"Hirawadi, Nashik - MPCB",Nashik_Hirawadi__Nashik_-_MPCB.csv,20.021503,73.813844,"Behind Late Sadashiv Bhore NMC Theater, Opp. Gems English Medium School, Hirawadi, Panchvati, Nashik"
Navi Mumbai,"Tondare-Taloja, Navi Mumbai - MPCB",Navi_Mumbai_Tondare-Taloja__Navi_Mumbai_-_MPCB.csv,19.063,73.1209,"Near Water Tank, MIDC to M/s Hindalco, MIDC Taloja."
